Year,On day of arrival,1 to 2 days,3 to 7 days,8 to 30 days,1 to 3 months,3 to 6 months,6 months to 1 year,Over 1 year
2000,161,104,265,968,"1,561",996,552,273
2001,195,146,279,"1,091","1,662","1,000",587,258
2002,99,132,281,"1,074","1,615","1,053",566,269
2003,109,127,262,994,"1,539",989,663,300
2004,139,128,272,"1,023","1,488","1,068",663,370
2005,77,136,285,"1,227","2,122","1,292",854,463
2006,46,138,320,"1,288","2,104","1,441",918,539
2007,44,97,277,"1,133","1,940","1,369","1,002",670
2008,52,131,259,"1,271","2,129","1,545","1,095",659
2009,98,96,253,"1,121","2,018","1,454","1,093",626
2010,73,99,282,"1,152","2,071","1,470","1,065",638
2011,108,145,327,"1,260","2,175","1,704","1,170",600
2012,52,141,342,"1,335","2,274","1,668","1,092",688
2013,45,129,352,"1,405","2,321","1,919","1,382",721
2014,56,171,363,"1,656","2,783","2,238","1,633",897
2015,80,236,511,"2,062","3,660","3,044","2,186","1,202"
2016,106,275,588,"2,587","4,680","3,710","2,794","1,756"
2017,124,313,635,"2,669","5,066","4,105","3,073","2,079"
2018,122,371,749,"3,149","5,749","4,651","3,700","2,348"
2019,179,302,746,"2,902","5,462","4,507","3,784","2,533"
2020,127,209,480,"1,783","3,237","3,135","2,918","2,019"